denominazione_regione,Zona,Casi totali,Nuovi positivi,% Nuovi pos regione / Nuovi pos tot nazionale,Attualmente positivi,Tot Terapia intensiva,Tot Ricoverati con sintomi,Tot Isolamento domiciliare
Lombardia,Bianca,841696,98,0.14,11202,52,248,10902
Veneto,Bianca,425371,38,0.05,4608,8,53,4547
Campania,Bianca,424192,117,0.17,8278,21,209,8048
Emilia-Romagna,Bianca,386791,36,0.05,3276,27,194,3055
Piemonte,Bianca,362894,31,0.04,900,14,162,724
Lazio,Bianca,345914,46,0.06,3240,54,191,2995
Puglia,Bianca,253306,59,0.08,3123,15,131,2977
Toscana,Bianca,244237,18,0.02,1972,28,98,1846
Sicilia,Bianca,231554,99,0.14,4227,24,162,4041
Friuli Venezia Giulia,Bianca,106930,16,0.02,202,0,10,192
Marche,Bianca,103625,8,0.01,1343,4,21,1318
Liguria,Bianca,103423,17,0.02,150,7,18,125
Abruzzo,Bianca,74792,30,0.04,900,1,25,874
P.A. Bolzano,Bianca,73299,8,0.01,159,3,6,150
Calabria,Bianca,68937,25,0.03,5287,6,68,5213
Sardegna,Bianca,57219,11,0.01,2322,3,31,2288
Umbria,Bianca,56845,8,0.01,779,3,17,759
P.A. Trento,Bianca,45763,4,5.89101620029455e-03,62,0,5,57
Basilicata,Bianca,26940,7,0.01,672,0,18,654
Molise,Bianca,13717,0,0.00,85,0,8,77
Valle d'Aosta,Bianca,11688,3,4.41826215022091e-03,37,0,1,36
