Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Milano;266.675;+313;+0,12%
Brescia;104.534;+128;+0,12%
Varese;83.785;+125;+0,15%
Monza e della Brianza;77.888;+91;+0,12%
Como;59.012;+125;+0,21%
Bergamo;51.719;+91;+0,18%
Pavia;43.211;+37;+0,09%
Mantova;34.847;+66;+0,19%
Cremona;26.237;+52;+0,20%
Lecco;24.474;+34;+0,14%
Lodi;16.483;+8;+0,05%
Sondrio;14.943;+50;+0,34%
In fase di definiz. / aggiornamento;11.511;+18;+0,16%
Fuori Regione / Provincia Autonoma;9.374;+16;+0,17%
